# NGSL headwords — 빈도 구간(band) 순서로 정렬됨
# 출처: Browne, Culligan & Phillips (NGSL, CC BY) / 기계가독 변환본 CC0
# 형식: word,band  (배치 스크립트는 첫 컬럼만 읽는다)
elderly,3000
owe,3000
governor,3000
uniform,3000
port,3000
pitch,3000
arrival,3000
contemporary,3000
gate,3000
ease,3000
beer,3000
specialist,3000
assure,3000
profile,3000
mood,3000
episode,3000
crack,3000
numerous,3000
submit,3000
symptom,3000
virtually,3000
era,3000
coverage,3000
tension,3000
cable,3000
sensitive,3000
nervous,3000
input,3000
isolate,3000
prisoner,3000
eliminate,3000
tight,3000
wet,3000
secondary,3000
welfare,3000
recruit,3000
exclude,3000
string,3000
cloud,3000
persuade,3000
inspire,3000
grand,3000
hence,3000
crew,3000
phenomenon,3000
pupil,3000
false,3000
assist,3000
restore,3000
formula,3000
alter,3000
perceive,3000
routine,3000
sink,3000
stare,3000
anymore,3000
hero,3000
supporter,3000
convert,3000
steady,3000
meter,3000
truck,3000
nose,3000
beside,3000
sail,3000
disaster,3000
pace,3000
heavily,3000
devote,3000
terrorist,3000
justify,3000
vital,3000
fascinate,3000
external,3000
spare,3000
whenever,3000
depression,3000
guilty,3000
underlie,3000
mom,3000
distinction,3000
satisfaction,3000
incorporate,3000
pour,3000
sweep,3000
obligation,3000
sir,3000
evaluate,3000
anger,3000
pub,3000
perception,3000
naturally,3000
currency,3000
database,3000
initially,3000
territory,3000
stream,3000
rarely,3000
height,3000
apparent,3000
western,3000
expansion,3000
constantly,3000
muscle,3000
scare,3000
badly,3000
everyday,3000
boundary,3000
ratio,3000
essay,3000
scream,3000
withdraw,3000
pollution,3000
disorder,3000
furniture,3000
symbol,3000
apartment,3000
demonstration,3000
analyst,3000
platform,3000
steel,3000
cake,3000
transform,3000
wound,3000
restriction,3000
foundation,3000
designer,3000
strain,3000
innovation,3000
album,3000
singer,3000
trail,3000
trap,3000
loose,3000
extension,3000
wealth,3000
gradually,3000
tank,3000
evil,3000
remarkable,3000
tune,3000
grass,3000
invitation,3000
transition,3000
frighten,3000
bid,3000
breed,3000
extraordinary,3000
brilliant,3000
adviser,3000
stem,3000
reverse,3000
mode,3000
mirror,3000
awful,3000
pose,3000
adjust,3000
creative,3000
nowadays,3000
poem,3000
agricultural,3000
competitor,3000
alcohol,3000
festival,3000
vegetable,3000
van,3000
confident,3000
planet,3000
curve,3000
knee,3000
