# TSL (TOEIC Service List) headwords — 빈도 순위(rank) 순서로 정렬됨
# 출처: Browne, C., Culligan, B. (2013). The TOEIC Service List.
#       Retrieved from www.newgeneralservicelist.com  (CC BY-SA 4.0)
# 형식: word,rank  (배치 스크립트는 첫 컬럼만 읽는다 — ngsl.csv 와 같은 모양)
#
# NGSL 2,800 과 합치면 토익 시험 어휘의 98.5% 를 덮는다. NGSL 과 같은 팀·같은
# 라이선스라 저작권 문제가 없다 — Oxford 3000·Cambridge EVP 는 못 쓰고 시판 교재
# 재배포(Anki 덱)는 CLAUDE.md §9 위반이라, 쓸 수 있는 목록으로는 사실상 유일하다.
#
# **원본은 cp1252 다.** UTF-8 로 읽으면 résumé 가 깨진다. 여기 저장한 것은 UTF-8 이다.
#
# 배치가 받지 못하는 표제어가 4개 있다 — `ice cream`(띄어쓰기), `résumé`·`café`·
# `entrée`(악센트). 이 프로젝트의 표제어는 한 낱말이고 빈칸 채점이 낱말 단위라
# 그대로 둔다. 조용히 사라지지는 않는다: load_wordlist 가 건너뛴 것을 말해 준다.
#
# 아래 한 줄이 이 목록의 트랙이다. 트랙은 행을 만들 때 정해지고 나중에 바뀌지 않으므로
# (crud.upsert_word), 실행할 때 고르는 플래그가 아니라 목록 자체에 적어 둔다.
# 이걸 지우면 TOEIC 어휘가 왕초보 트랙으로 쏟아진다.
# track: toeic
fortunately,912
freighter,913
generator,914
hallway,915
hamburger,916
hazard,917
homeowner,918
imperative,919
inflate,920
insert,921
lecturer,922
meaningful,923
memorize,924
merchant,925
modification,926
occupant,927
overcharge,928
oversee,929
petition,930
pillow,931
popcorn,932
pottery,933
professionally,934
publicize,935
ray,936
redecorate,937
refinery,938
refresh,939
refundable,940
reimbursement,941
reliability,942
reluctant,943
sewer,944
skate,945
skateboard,946
sleepy,947
tailor,948
termination,949
theft,950
thunderstorm,951
transmission,952
transmit,953
unused,954
waive,955
yen,956
activate,957
additionally,958
affirmative,959
baker,960
brainstorm,961
cage,962
cinema,963
collaboration,964
condominium,965
consecutive,966
cordless,967
deluxe,968
desirable,969
discrepancy,970
dispatch,971
drawback,972
dull,973
economically,974
evenly,975
excellence,976
exclusively,977
farewell,978
fatigue,979
fiscal,980
fleet,981
flour,982
fog,983
formally,984
gram,985
handbook,986
headphone,987
heater,988
helmet,989
hiker,990
homeless,991
lighter,992
loudly,993
loyalty,994
microwave,995
misidentify,996
neat,997
nomination,998
officially,999
outfit,1000
pastry,1001
personalize,1002
poorly,1003
prestigious,1004
purser,1005
reassure,1006
resume,1007
reunion,1008
revolutionize,1009
seafood,1010
signify,1011
slot,1012
steer,1013
sue,1014
superb,1015
traditionally,1016
tremendous,1017
underway,1018
unpleasant,1019
violin,1020
ward,1021
worthwhile,1022
adapter,1023
advisable,1024
archive,1025
artistic,1026
assurance,1027
athletic,1028
attire,1029
auditor,1030
bankruptcy,1031
bulk,1032
butter,1033
centimeter,1034
circulate,1035
comb,1036
comfortably,1037
compliance,1038
contraction,1039
cookbook,1040
cushion,1041
dose,1042
drum,1043
embed,1044
evacuate,1045
expedite,1046
extinguisher,1047
familiarity,1048
flaw,1049
fluctuate,1050
fluent,1051
honestly,1052
housekeep,1053
hurricane,1054
hygiene,1055
integral,1056
interactive,1057
interfere,1058
kilogram,1059
layoff,1060
lightweight,1061
merit,1062
necklace,1063
needy,1064
overpay,1065
pamphlet,1066
partial,1067
penalize,1068
pollute,1069
prescribe,1070
probable,1071
prominent,1072
rainfall,1073
relocation,1074
residence,1075
retrieve,1076
rider,1077
rubber,1078
rug,1079
salespeople,1080
sharply,1081
similarity,1082
someday,1083
spectator,1084
stereo,1085
storeroom,1086
subsidize,1087
suspicious,1088
tasty,1089
terrific,1090
underground,1091
unpaid,1092
volleyball,1093
wheelchair,1094
whoever,1095
wool,1096
wrinkle,1097
accuracy,1098
anyhow,1099
appetizer,1100
arc,1101
audition,1102
backpack,1103
ballroom,1104
beneficial,1105
biography,1106
bound,1107
broom,1108
cheeseburger,1109
chilly,1110
circus,1111
compliment,1112
consignment,1113
continental,1114
copyright,1115
countryside,1116
demolish,1117
departmental,1118
desperate,1119
devastate,1120
diagnostic,1121
diagram,1122
diamond,1123
disable,1124
disgust,1125
donut,1126
doorman,1127
electronically,1128
elevate,1129
engagement,1130
enrollment,1131
euro,1132
forbid,1133
fork,1134
foster,1135
getaway,1136
gossip,1137
hacker,1138
hardworking,1139
impatient,1140
indirect,1141
interpreter,1142
intersection,1143
irrelevant,1144
jeans,1145
journalism,1146
letterhead,1147
lifeguard,1148
modem,1149
monument,1150
mosquito,1151
obligate,1152
oblige,1153
occurrence,1154
operational,1155
outage,1156
overcrowd,1157
paralegal,1158
partially,1159
pepper,1160
permanently,1161
plow,1162
query,1163
railway,1164
raincoat,1165
reconsider,1166
redesign,1167
rehearsal,1168
relaxation,1169
repetition,1170
retreat,1171
salon,1172
satellite,1173
scenery,1174
serial,1175
sew,1176
sketch,1177
smartphone,1178
soar,1179
stimulus,1180
stockbroker,1181
tablecloth,1182
thirsty,1183
thrill,1184
tile,1185
toiletry,1186
trademark,1187
tropical,1188
tuna,1189
unemployed,1190
validate,1191
vanilla,1192
willingness,1193
wristwatch,1194
abide,1195
actively,1196
allergy,1197
apprehensive,1198
automotive,1199
bacteria,1200
broaden,1201
bulb,1202
by-law,1203
cheer,1204
complication,1205
considerate,1206
daytime,1207
decoration,1208
discard,1209
drastically,1210
erase,1211
explorer,1212
factual,1213
fixture,1214
footwear,1215
genre,1216
gymnasium,1217
